KKID,KKMC,CLOUD_ID,TOLLGATENO,DWSSQY,DWZT,QDFS,QDDBH,QDQBMS,JGZT,SFNRGJJH,FXS,DWPMT,DWPMTMS,DXXSJT,DXXSJTMS,NXBSJT,NXBSJTMS,XXDSJT,XXDSJTMS,BXNSJT,BXNSJTMS,ISDELFLG,JGSB
4.201E+17,青王公路青化路丁字路口,127,0272012ZM12343,4,0,信号机,,,,2,1,,,,,,,,,,,1,
4.201E+17,青化路武钢冶末公司门口,123,0272012ZM12345,4,0,信号机,,,,2,2,,,,,,,,,,,1,
4.201E+17,建设一路旅大街（单行线）,122,0272012ZM12346,3,0,信号机,,,,2,2,,,,,,,,,,,1,
4.201E+17,建二路和平大道,121,0272012ZM12347,3,0,,,,,2,1,,,,,,,,,,,1,
4.201E+17,建一路吉林街,120,0272012ZM12348,3,1,信号机,,,,2,2,,,,,,,,,,,1,
4.201E+17,紫阳东路东安路,116,0272012ZM12352,2,0,信号机,,,,2,2,,,,,,,,,,,1,
9000004,欢乐大道园林路人行过街,1004,0272013JY00002,3,0,信号机,,,,,2,,,,,,,,,,,1,
9000005,欢乐大道园林一路,1005,0272013JY00003,3,0,信号机,,,,,2,,,,,,,,,,,1,
9000006,欢乐大道工业二路,1006,0272013JY00004,3,,,,,,,2,,,,,,,,,,,1,
9000007,欢乐大道工业二路人行过街,1007,0272013JY00005,3,,,,,,,2,,,,,,,,,,,1,
9000008,欢乐大道工业四路,1008,0272013JY00006,3,0,,,,,,2,,,,,,,,,,,1,
4.201E+17,体育路烈士街,115,0272012ZM12353,2,4,信号机,,,,2,1,,,,,,,,,,,1,
4.201E+17,三环线光谷大道立交1.5KMLF,262,0272012LF12100,5,,,,,,2,2,,,,,,,,,,,1,
4.201E+17,三环线欢乐大道立交_北1KMLF,259,0272012LF12102,1,0,,,,,,2,,,,,,,,,,,1,
4.201E+17,马沧湖路动物园路以南200米LF,247,0272012LF12142,2,0,平安城市,,,,,1,,,,,,,,,,,1,
4.201E+17,珞瑜东路三环线_西500M_进城LF,242,0272012LF12140,3,0,红绿灯取电,,,,,1,,,,,,,,,,,1,
4.201E+17,解放大道新世界酒店（至青年路）LF,240,0272012LF12118,2,0,,,,,,1,,,,,,,,,,,1,
4.201E+17,解放大道解放公园东LF,255,0272012LF12114,1,3,,,,,,2,,,,,,,,,,,1,
4.201E+17,新华路_建设大道路口,205,12036,2,,,,,,,2,,,,,,,,,,,1,
4.201E+17,建设大道江大路,1116,12022,2,0,,,,,,2,,,,,,,,,,,1,
4.201E+17,澳门路惠济路路口,1117,12010,2,3,,,,,,3,,,,,,,,,,,1,
4.201E+17,中南路中南二路口,1118,11123,2,2,,,,,,3,,,,,,,,,,,0,
4.201E+17,公正路沙湖果批,1120,11150,2,3,,,,,,2,,,,,,,,,,,1,
0272011TS10001,卓北路_广卓路TS,570,0272011TS10001,2,0,信号机取电,,,,2,2,,,,,,,,,,,1,
0272014bk10009,珞瑜东路_三环线_西500M_出城bk,1168,0272014bk10009,,,,,,,,1,upload/20141210/20141210111109luoyudonglu.png,,,,,,,,,,1,
TidC0391420112000000,金山大道吴中路,388,10048,4,0,,,,,,2,,,upload/20150411/20150411152331d.jpg,,,,upload/20150411/20150411152335x.jpg,,,,1,
TidC0390420112000000,金山大道东吴大道路口,387,10047,4,0,,,,,,2,,,,,upload/20150411/20150411152149n.jpg,,,,upload/20150411/20150411152139b.jpg,,1,
4.201E+17,珞狮南路_三环线_北300M_进城LF,268,0272012LF12133,,0,,,,,,1,,,,,,,,,,,1,
4.201E+17,黄孝河路解放公园路,68,0272012HY12013,1,0,信号机,,,,2,3,upload/20140910102738/13黄孝河路解放公园路.jpg,,,,,,,,,,1,
4.201E+17,中南二路民主路,101,0272012ZM12311,2,0,信号机,,,,2,2,,,,,,,,,,,1,
0272014LF14021,发展大道振兴三路东附近LF,1014,0272014LF14021,,0,诱导屏取电,,,,,2,upload/20140930162100/振兴三卡口.jpg,,upload/20140930162241/DSCN4468.JPG,,,,upload/20140930162241/DSCN4469.JPG,,,,1,交换机，光收发器
4.201E+17,京汉大道_前进一路,146,0272012HY12020,1,0,信号机,,,,2,2,upload/20140910103751/20京汉大道前进一路.jpg,,,,,,,,,,1,
4.201E+17,体育路辛亥革命博物馆,108,0272012ZM12317,2,0,信号机,,,,2,1,,,,,,,,,,,1,
4.201E+17,解放大道蓝天,73,0272012HY12018,1,0,信号机,,,,2,2,upload/20140910104506/18解放大道蓝天.jpg,,,,,,,,,,1,
4.201E+17,光谷大道黄龙山南路LF,230,0272012LF12143,3,0,,,,,,2,,,,,,,,,,,1,
4.201E+17,后湖大道全民健身中心LF,232,0272012LF12146,3,0,,,,,,2,,,,,,,,,,,1,
4.201E+17,武汉绕城高速阳逻大桥北端LF,272,0272012LF12153,4,,,,,,,2,,,,,,,,,,,1,
0272014LF14022,发展大道马场二路路段LF,1016,0272014LF14022,,0,姑嫂树监控,,,,,2,upload/20140930162034/1.jpg,,upload/20140930163030/东DSCN4593.JPG,辅道单独立杆,,,upload/20140930163030/西DSCN4582.JPG,辅道单独立杆,,,1,交换机，光收发器
4.201E+17,长江大桥,1,1,1,0,,,,,2,2,,,,,,,,,,,1,
4.201E+17,江汉一桥,2,2,1,,,,,,,2,,,,,,,,,,,1,
4.201E+17,江汉二桥,5,5,,,,,,,,2,,,,,,,,,,,1,
4.201E+17,芦沟桥路武汉天地（至中山大道）LF,257,0272012LF12116,1,0,,,,,,2,,,,,,,,,,,1,
4.201E+17,解放大道汉黄路南200M_进城LF,265,0272012LF12128,3,0,,,,,,1,,,,,,,,,,,1,
4.201E+17,金山大道金南一路东LF,51,0272012LF12138,4,,,,,,,1,,,,,,,,,,,1,
4.201E+17,沿江大道滨江苑LF,156,0272012LF12168,,0,,,,,,2,,,,,,,,,,,1,
0272011TS10007,珞狮南路_文荟街TS,576,0272011TS10007,2,0,信号机取电,,,,2,2,upload/20141231/20141231142251luoshinanluwenhuijie.jpg,,,,upload/20141231/20141231142312S (1).jpg,,,,upload/20141231/20141231142306N.jpg,,1,
0272011TS10008,珞狮南路_武梁路TS,577,0272011TS10008,2,0,信号机取电,,,,2,3,upload/20141231/20141231142344luoshinanluwulianglu.jpg,,,,upload/20141231/20141231142420S.jpg,,upload/20141231/20141231142406W.jpg,,upload/20141231/20141231142357N.jpg,,1,
0272010TS10010,长江二桥_徐东落点卡口TS,579,0272010TS10010,2,0,,,,,2,2,upload/20150106/20150106155038changjiangerqiaoxudongluodiankakou.jpg,,,,upload/20150106/20150106155053s.jpg,,,,upload/20150106/20150106155047n.jpg,,1,
0272014bk10003,东二环_水果湖隧道bk,1165,0272014bk10003,2,0,隧道内取电,,隧道内取电,,2,2,upload/20141210/20141210111907shuiguohudadao.jpg,,,,,,,,,,1,
4.201E+17,常青一路新华路,1040,12054,,0,,,,,,2,,,,,,,,,,,1,
4.201E+17,冶金大道_工业一路口,1043,11103,3,0,,,,,,2,,,,,,,,,,,1,
4.201E+17,冶金大道_二轻学院路口,1045,11105,3,0,,,,,,2,,,,,,,,,,,1,
4.201E+17,和平大道八大家路口,1047,11107,3,0,,,,,,2,,,,,,,,,,,1,
4.201E+17,和平大道建九路口,1048,11108,,0,,,,,,2,,,,,,,,,,,1,
4.201E+17,工业二路鄂州街路口,1052,11112,,0,,,,,,2,,,,,,,,,,,1,
4.201E+17,工业四路黄州街路口,1053,11113,,0,,,,,,2,,,,,,,,,,,1,
4.201E+17,建八路红钢二街,1054,11114,,0,,,,,,2,,,,,,,,,,,1,
4.201E+17,武珞路五巷中南二路,1062,11153,,0,,,,,,2,,,,,,,,,,,1,
0272014LF14001,发展大道黄孝河路LF,1066,0272014LF14001,2,0,红绿灯取电,,,,,3,,,,,,,,,,,1,交换机，光收发器
0272014LF14002,发展大道中一路LF,1067,0272014LF14002,2,0,红绿灯取电,,,,,3,upload/20140930160547/中一.jpg,,upload/20140930140641/发展大道中一路东.JPG,,upload/20140930140641/发展大道中一路西向.JPG,,upload/20140930140641/发展大道中一路西向.JPG,,upload/20140930140641/发展大道中一路北向.JPG,,1,交换机，光收发器
0272014LF14003,发展大道俊才街LF,1068,0272014LF14003,2,0,红绿灯取电,,,,,2,upload/20140930160508/俊才.jpg,,upload/20140930141011/发展大道俊才街东向.JPG,,,,upload/20140930141011/发展大道俊才街西向.JPG,,,,1,交换机，光收发器
0272014LF14015,解放大道水厂（二环线）LF,1069,0272014LF14015,2,0,红绿灯取电,,,,,2,upload/20140930161344/水厂.jpg,,upload/20140930152856/image003.jpg,东向右转单独立杆,,,upload/20140930152856/image005.jpg,,,,1,交换机，光收发器
0272014LF14014,建设大道汉西一路LF,1070,0272014LF14014,2,0,红绿灯取电,,,,,3,upload/20140930161322/汉一.jpg,,upload/20140930153428/image007.jpg,,upload/20140930153428/image009.jpg,,upload/20140930153428/image011.jpg,,,,1,交换机，光收发器
0272014LF14013,汉西路常码侧路（空军九通基地）LF,1071,0272014LF14013,2,4,红绿灯取电,,,,,2,upload/20140930161302/空9.jpg,,upload/20140930152627/image013.jpg,,,,upload/20140930152627/image015.jpg,,,,1,交换机，光收发器
0272014LF14004,发展大道三眼桥路LF,1073,0272014LF14004,2,0,红绿灯取电,,,,,4,upload/20140930160412/三眼桥.jpg,,upload/20140930143026/发展大道三眼桥路东向.JPG,,upload/20140930143026/发展大道三眼桥路南向.JPG,,upload/20140930143026/发展大道三眼桥路西向.JPG,,upload/20140930143026/发展大道三眼桥路北向.JPG,,1,交换机，光收发器
0272014LF14005,发展大道新华西路LF,1074,0272014LF14005,2,0,红绿灯取电,,,,2,4,upload/20140930160812/新华.jpg,,upload/20140930145250/发展大道新华西路东向.JPG,,upload/20140930145250/发展大道新华西路南向.JPG,,upload/20140930145250/发展大道新华西路西向.JPG,,upload/20140930145250/发展大道新华西路北向.JPG,,1,交换机，光收发器
0272014LF14010,发展大道振兴三路LF,1076,0272014LF14010,2,0,红绿灯取电,,,,,2,upload/20140930161155/振兴三.jpg,,upload/20140930145753/发展大道振兴三路东向.JPG,,,,upload/20140930145753/发展大道振兴三路西向.JPG,,,,1,交换机，光收发器
0272014LF14009,发展大道振兴二路LF,1078,0272014LF14009,2,0,红绿灯取电,,,,,2,upload/20140930161132/振兴二.jpg,,upload/20140930145644/发展大道振兴二路东向.JPG,,,,upload/20140930145644/发展大道振兴二路西向.JPG,,,,1,交换机，光收发器
0272014LF14007,发展大道青年路LF,1079,0272014LF14007,2,0,红绿灯取电,,,,,3,upload/20140930160654/青年.jpg,,upload/20140930143506/发展大道青年路东向.JPG,,upload/20140930143506/发展大道青年路南向.JPG,,upload/20140930143506/发展大道青年路西向.JPG,,,,1,交换机，光收发器
4.201E+17,八一路东三路,1081,11130,2,0,,,,,,2,,,,,,,,,,,1,
4.201E+17,光谷一路高新四路口,1085,11136,,0,,,,,,3,,,,,,,,,,,1,
4.201E+17,民族大道三环线_北1KM_进城LF,267,0272012LF12129,3,0,,,,,,1,,,,,,,,,,,1,
4.201E+17,塔子湖东路三环线_南700MLF,246,0272012LF12130,3,,,,,,,1,,,,,,,,,,,1,
4.201E+17,建设大道解放公园路口,1021,12021,3,0,,,,,,2,,,,,,,,,,,1,
4.201E+17,兴业路后湖四路路口,1022,12023,3,0,,,,,,2,,,,,,,,,,,1,
4.201E+17,兴业路后湖二路路口,1023,12024,,0,,,,,,2,,,,,,,,,,,1,
4.201E+17,自治街前进一路口,1024,12028,1,0,,,,,,2,,,,,,,,,,,1,
4.201E+17,南泥湾大道古田二路口,1035,12044,3,0,,,,,,2,,,,,,,,,,,1,
4.201E+17,珞瑜东路光谷一路口,1088,11139,3,0,,,,,,2,,,,,,,,,,,1,
4.201E+17,光谷大道南湖大道路口LF,1090,11141,3,0,,,,,,2,,,,,,,,,,,1,
4.201E+17,珞喻东路军械士官学校,1092,11143,4,0,,,,,,2,,,,,,,,,,,1,
4.201E+17,珞喻东路青王公路,1093,11144,4,0,,,,,,2,,,,,,,,,,,1,
4.201E+17,光谷二路富五路,1095,11146,4,0,,,,,,2,,,,,,,,,,,1,
4.201E+17,利济南路(沿河大道至中山大道)LF,164,0272012LF12125,1,0,,,,,,1,,,,,,,,,,,1,
9000003,欢乐大道园林路,1003,0272013JY00001,3,0,信号机,,,,1,2,,,,,,,,,,,1,
0272011TS10005,八一路_鲁磨路TS,574,0272011TS10005,2,0,信号机取电,,,,2,4,upload/20141231/20141231141713bayilulumolu.jpg,,upload/20141231/20141231141731bayilulumoluE.jpg,,upload/20141231/20141231141740bayiulumoluS.jpg,,upload/20141231/20141231141753bayilulumoluW.jpg,,upload/20141231/20141231141800bayilumoluN.jpg,,1,
0272011TS10009,珞狮南路_南湖大道TS,578,0272011TS10009,2,0,信号机取电,,,,2,4,upload/20141231/20141231143312luoshinanlunanhudadao.jpg,,upload/20141231/20141231143345E.jpg,,upload/20141231/20141231143337S.jpg,,upload/20141231/20141231143332W.jpg,,upload/20141231/20141231143327N.jpg,,1,
4.201E+17,沿江大道三阳路,61,0272012HY12006,1,0,信号机,,,,2,1,upload/20140902110819/6沿江大道三阳路.jpg,,,,,,,,,,1,
4.201E+17,南京路路段,62,0272012HY12007,1,0,,,,,2,1,upload/20140902111130/7南京路路段（单行线）.jpg,,,,,,,,,,1,
4.201E+17,临江大道船艇大队,91,0272012ZM12300,3,0,信号机,,,,2,2,,,,,,,,,,,1,
4.201E+17,临江大道前进路（万达公馆）,92,0272012ZM12301,3,0,信号机,,,,2,2,,,,,,,,,,,1,
4.201E+17,体育街彭刘杨路,93,0272012ZM12302,3,0,信号机,,,,2,4,,,,,,,,,,,1,
4.201E+17,张之洞路体育街,94,0272012ZM12303,3,0,,,,,2,1,,,,,,,,,,,1,信号机
4.201E+17,铭新街南京路,57,0272012HY12002,1,0,信号机,,,,2,2,upload/20140902105801/2铭新街南京路.jpg,,,,,,,,,,1,
9000009,杨春湖和谐路,1009,0272013JY00007,3,,,,,,,2,,,,,,,,,,,1,
9000010,欢乐大道杨春湖路,1010,0272013JY00008,3,,,,,,,2,,,,,,,,,,,1,
4.201E+17,中山路民主路路口,96,0272012ZM12305,2,,信号机,,,,,4,,,,,,,,,,,1,
4.201E+17,胜利街五福路,65,0272012HY12010,1,0,信号机,,,,2,2,upload/20140910101929/10胜利街五福路.jpg,,,,,,,,,,1,
4.201E+17,中山路中铁十一局,97,0272012ZM12306,2,0,信号机,,,,2,2,,,,,,,,,,,1,
4.201E+17,建设大道台北路,66,0272012HY12011,1,0,信号机,,,,2,2,upload/20140910102222/11建设大道台北路.jpg,,,,,,,,,,1,
4.201E+17,民主路武昌路路口（古楼洞）,98,0272012ZM12307,2,0,信号机,,,,2,2,,,,,,,,,,,1,
4.201E+17,民主路胭脂路丁字路口,99,0272012ZM12308,2,0,信号机,,,,2,2,,,,,,,,,,,1,
4.201E+17,中山大道卢沟桥,67,0272012HY12012,1,0,信号机,,,,2,4,upload/20140910102443/12中山大道卢沟桥路路口.jpg,,,,,,,,,,1,
4.201E+17,团结大道秦园东路,129,0272012ZM12326,3,0,信号机,,,,2,3,,,,,,,,,,,1,
4.201E+17,顺道街_前进二路,76,0272012HY12022,,0,信号机,,,,2,2,upload/20140910105216/22顺道街前进二路.jpg,,,,,,,,,,1,
4.201E+17,大兴路路段,77,0272012HY12023,,0,信号机,,,,2,1,upload/20140910105400/23大兴路路段（单行线）.jpg,,,,,,,,,,1,
4.201E+17,恒安路建安路,109,0272012ZM12318,2,3,信号机,,,,2,2,,,,,,,,,,,1,
4.201E+17,红旗渠路_新湾五路,78,0272012HY12024,,,信号机,,,,2,4,upload/20140910110008/24红旗渠路新湾五路.jpg,,,,,,,,,,1,
4.201E+17,平安路雅安街,111,0272012ZM12320,2,0,信号机,,,,2,2,,,,,,,,,,,1,
4.201E+17,平安路瑞安街,112,0272012ZM12321,2,0,信号机,,,,2,2,,,,,,,,,,,1,
4.201E+17,芳草大道四新南路,80,0272012HY12026,3,3,信号机,,,,2,4,upload/20140910110643/26芳草大道四新南路.jpg,,,,,,,,,,1,
4.201E+17,恒安路瑞安街,113,0272012ZM12322,2,0,信号机,,,,1,2,,,,,,,,,,,1,
4.201E+17,汉阳大道永丰路,82,0272012HY12028,1,0,信号机,,,,2,2,upload/20140910111136/28汉阳大道永丰路.jpg,,,,,,,,,,1,
4.201E+17,洪山路_天鹅路路口,124,0272012ZM12324,2,0,信号机,,,,2,3,,,,,,,,,,,1,
4.201E+17,临江大道秦园路,85,0272012HY12031,1,0,信号机,,,,2,3,upload/20140910111956/31临江大道秦园路.jpg,,,,,,,,,,1,
4.201E+17,友谊大道秦园路,134,0272012ZM12328,3,0,信号机,,,,2,2,,,,,,,,,,,1,
4.201E+17,和平大道建一路,86,0272012HY12032,,0,,,,,2,1,upload/20140910112325/32和平大道建设一路.jpg,,,,,,,,,,1,
4.201E+17,友谊大道建一路,87,0272012HY12033,1,0,信号机,,,,,4,upload/20140910112552/33友谊大道建设一路.jpg,,,,,,,,,,1,
0272014JW10002,八一路_广八路,1302,0272014JW10002,3,0,,,,,2,2,,,,,,,,,,,1,
4.201E+17,友谊大道园林路,88,0272012HY12034,1,0,,,,,2,2,upload/20140910112929/34友谊大道园林路.jpg,,,,,,,,,,1,
0272014JW10003,八一路珞珈南路,1303,0272014JW10003,,,,,,,,1,,,,,,,,,,,1,
0272012LF227,长江大桥_龟山（汉阳_武昌BK)DELLF,1201,0272012LF227,,0,原点,,原点,,2,1,,,,,,,,,,,0,
0272012TS10025,二环线_二七路高架前后拍TS,528,0272012TS10025,2,0,信号机取电,,,,2,2,upload/20150106/20150106155721erhuanxianerqilukakou.jpg,,upload/20150106/20150106155730E.jpg,,,,upload/20150106/20150106155737W.jpg,,,,1,
0272012TS10022,发展大道_黑泥湖路TS,526,0272012TS10022,2,0,信号机取电,,,,,3,upload/20141231/20141231143201fazhangdadaoheinihulu.jpg,,,,upload/20141231/20141231143218S (1).jpg,,,,upload/20141231/20141231143213N.jpg,,1,
0272012TS10024,发展大道_二七横路TS,527,0272012TS10024,2,,信号机取电,,,,,2,,,,,,,,,,,1,
4.201E+17,京汉大道_前进四路口,1026,12031,1,0,,,,,,3,,,,,,,,,,,1,
4.201E+17,新华路江汉北路路口,1027,12034,2,0,,,,,,3,,,,,,,,,,,1,
4.201E+17,新华路协和医院横道,1028,12035,1,0,,,,,,2,,,,,,,,,,,1,
4.201E+17,书城路文秀街路口,142,0272012ZM12335,2,0,信号机,,,,2,2,,,,,,,,,,,1,
